Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,label,p_AAE,dialect_strict,dialect_relaxed,dialect_strict_bin,dialect_relaxed_bin
11199,3,0,3,0,1,i swear a nicca sleep but im up tired as fuk,1,0.9535227001524291,AAE,AAE,1,1
9474,3,0,3,0,1,fucc yo face card nicca umightnotgetin beerandtacos wethelastonesleft milkthecity respecttheculture,1,0.9882436100310219,AAE,AAE,1,1
10024,3,0,0,3,2,hes trash tho _dimejii its 10 million naira if you want me on your song wizkid via naijaxclusive,0,0.3439889933374467,SAE,SAE,0,0
24676,3,1,2,0,1,lmfaoooo rt harleyyyquinn_ wiz is a perfect example of how fame can get you bitches he looks like your typical tweaker homeless woman,1,0.1695576843584766,SAE,SAE,0,0
13814,3,0,3,0,1,now dont you hate them ol lyin ass hoes smilin in ya face wearin her best friends clothes,1,0.9092719010452969,AAE,AAE,1,1
14255,3,0,3,0,1,procrastination is really a bitch,1,0.13912136931881838,SAE,SAE,0,0
18641,3,0,3,0,1,rt _2kkz you niggaz really think yo niggazn yo bitch solid guarantee yo nigga will hav her choosin n wont tell ya,1,0.9444302038751008,AAE,AAE,1,1
3505,3,0,3,0,1,hunglikerobby_ triple6em96 bbluedreamm brush lets just ignore the silly hoe shes pregnant hella hormones tryna fuck with other people,1,0.42394775933872597,SAE,SAE,0,0
6889,3,0,3,0,1,mitchbattiste sup pussy,1,0.8106695526918226,AAE,AAE,1,1
15525,3,1,2,0,1,rt fashioniskei dont no real bitch want no soft nigga,1,0.9485819629993837,AAE,AAE,1,1
17622,3,0,0,3,2,rt seinfeld2000 uncle leo find iwatch in trash can,0,0.4606058794637313,SAE,SAE,0,0
14495,3,0,3,0,1,rt almightyalijah told yo bitch get on her knees i dont want no sex,1,0.9365113426000086,AAE,AAE,1,1
15355,3,0,3,0,1,rt dino_off_ad them hoes come them hoes go its a revolving cycle,1,0.8259515946724203,AAE,AAE,1,1
1317,3,0,3,0,1,grumpycattalkin im sorry i offended you when i called you a bitch i honestly thought you knew,1,0.07859979090896893,SAE,SAE,0,0
16586,3,0,3,0,1,rt lilreese300 trippygalll dats how u drop it dum ho ask about me b4 yu jump on my dick ho or reed about me yu cluck ass thot,1,0.9916464572489019,AAE,AAE,1,1
9141,3,0,3,0,1,dumb cunt,1,0.06865588740019923,SAE,SAE,0,0
19954,3,0,3,0,1,rt lil_dannyyy it aint nothing to cut that bitch off,1,0.9408312339992702,AAE,AAE,1,1
9276,3,0,0,3,2,except i used to be super tan and now im yellowpale lol,0,0.09772064672388724,SAE,SAE,0,0
22352,3,2,1,0,0,they slut for me they kill for me they steal for me and of course itll be yo cash and ill murder that bitch send the body back to yo ass,1,0.5571306228463156,SAE,SAE,0,0
23397,3,0,3,0,1,why you let these hoes tear what we had apart you shud be beware beware,1,0.8279411126909667,AAE,AAE,1,1
493,6,0,6,0,1,i prolly leave up out this bitch with my cups in my hand and yo hand in my other hand,1,0.6110272353523784,SAE,AAE,0,1
22315,4,0,4,0,1,these side bitches will wait til they know u wit ya lady to text u hey boo bitch gtfoh,1,0.9856824049929235,AAE,AAE,1,1
7589,3,1,2,0,1,yurista4life paulmoon8 are you for real right now justinmiculka01 this kid haha where you at pussy,1,0.1675732124514662,SAE,SAE,0,0
11831,3,0,3,0,1,if eating the pussy makes you happy im all for it,1,0.24100216772492075,SAE,SAE,0,0
15389,3,0,3,0,1,rt doprettyshiz_ this bitch just blew my high and i was high off all of these drugs,1,0.5151298774988988,SAE,SAE,0,0
19574,3,0,3,0,1,rt idntwearcondoms 0 hoes,1,0.509817574351477,SAE,SAE,0,0
23202,3,0,3,0,1,when people igg my text they get aired out in my head all types of bitches an dickheads,1,0.7592557678835755,SAE,AAE,0,1
17408,3,0,3,0,1,rt rakwonogod bros before hoes a bro with no hoes,1,0.9493393024104861,AAE,AAE,1,1
14601,3,0,1,2,2,rt barryclerjuste whatchu sayin hoe you know im the man hoe,0,0.9821424068202769,AAE,AAE,1,1
6424,3,0,3,0,1,jennahnorberg because its retarded lol jk were the same,1,0.015685428769001614,SAE,SAE,0,0
21919,3,0,3,0,1,thats real dedication arigold_88 this bitch got diarrhea and still here shitting up the bathroom,1,0.5801046813345316,SAE,SAE,0,0
