Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,label,p_AAE,dialect_strict,dialect_relaxed,dialect_strict_bin,dialect_relaxed_bin
3267,3,0,3,0,1,flyguychanze lol you tell that bitch,2,0.7373875759704773,SAE,AAE,0,1
23994,3,1,2,0,1,your leader rocks a fucking mo hawk and dances like a faggot from atl houstonrockets,2,0.15450944190243415,SAE,SAE,0,0
24608,3,0,3,0,1,its everything to cut that bitch off,2,0.8025108417461856,AAE,AAE,1,1
477,3,0,3,0,1,i dont chase after dudes i chase after bitches edgar bautista,2,0.464494985113139,SAE,SAE,0,0
11070,3,0,3,0,1,i need some good pussy fuck,2,0.8799253529398657,AAE,AAE,1,1
17735,3,0,3,0,1,rt slutty_hermione twerking in the chamber of secrets with all my bad bitches twerkteam,2,0.41454134260267944,SAE,SAE,0,0
17951,3,3,0,0,0,rt tae_rhodes kim92493 tae_rhodes kim92493 patpatbush uhhh youve been judged it happens whitepowerill hang you nigger wo,1,0.016170323772377912,SAE,SAE,0,0
14258,3,0,3,0,1,project pay is just a soft ass little bitch,2,0.4223554749776801,SAE,SAE,0,0
11972,3,0,0,3,2,if you think that the term redskins being offensive is a political issue you are ignorant,0,0.021779787965005456,SAE,SAE,0,0
2091,3,0,3,0,1,i really dont give a fuck once you start that you got hoes you fuck with bitches shit im deleting yo,2,0.7780622650759261,SAE,AAE,0,1
2013,3,0,0,3,2,best asian massage on the park slope top rated spa 7186220221 24,0,0.016079859116602806,SAE,SAE,0,0
5387,3,0,3,0,1,yummys_world thoughtsofrandy strocorleone that bitch already got past demons in herseeding her up just gone fuse more,2,0.6302307971570811,SAE,AAE,0,1
3162,3,0,3,0,1,dswizzle3 yea thats what i thought pussy boy u r a fucking thot,2,0.9367799411160666,AAE,AAE,1,1
23973,3,0,3,0,1,young thug called a bitch his twin on a track i dont even know what he mean by that but im definitely bout to start calling bitches that,2,0.852139400853856,AAE,AAE,1,1
10184,3,1,2,0,1,how did i get stuck with the worlds biggest cunt for a sister i just wanna set the cunt on fire and send her straight to hell,2,0.05307217526464248,SAE,SAE,0,0
1609,9,1,7,1,1,traceydee98 i want pussy for dinner,2,0.37603146282083616,SAE,SAE,0,0
13074,3,0,0,3,2,mann are first game is 3 weeks from now cant wait once a redskin always a redskin,0,0.31689793403731836,SAE,SAE,0,0
1986,3,0,0,3,2,wassssupsarah car hopping is a different world these ghetto guys tried asking for my number lol did they have to be ghetto tho,0,0.3923071052908131,SAE,SAE,0,0
11244,3,0,0,3,2,i think im gonna walk around the house free as a bird,0,0.28595423061434666,SAE,SAE,0,0
24791,3,1,2,0,1,nobody bout their actions you all pussy,2,0.8906670857160783,AAE,AAE,1,1
7565,3,0,3,0,1,yelafox _saharbabyy because hoes disguise themselves as real women,2,0.6860984594837621,SAE,AAE,0,1
20483,6,0,6,0,1,rt sofancyy_ swear these hoes aint got nothing on me,2,0.9956339802008709,AAE,AAE,1,1
124,3,0,3,0,1,frosstyy_ h0rheyd i didnt say anything tho kiss me then faggot,2,0.1886928357231037,SAE,SAE,0,0
16248,3,0,3,0,1,rt juicedballs not scared to pepper spray a bitch hand gently resting on fanny pack,2,0.14559252923763227,SAE,SAE,0,0
22896,3,0,0,3,2,video charlie baker remembers tom menino,0,0.0026099791667272038,SAE,SAE,0,0
24112,3,0,3,0,1,bitch im me so who u,2,0.8834850214964232,AAE,AAE,1,1
14632,3,1,2,0,1,rt badnewsali you really are a faggot if you say that match was bad stop watching,2,0.05940780410196074,SAE,SAE,0,0
11193,3,0,3,0,1,i swear i got that shit that make the bitches go insane,2,0.6235843400523846,SAE,AAE,0,1
11730,3,0,0,3,2,ive got a birds eye view of all the secrets you keep,0,0.16756483236541078,SAE,SAE,0,0
22408,3,0,3,0,1,this bitch and her cankles,2,0.462511867204221,SAE,SAE,0,0
23708,3,0,3,0,1,you a pussy dawg pipe_tyson,2,0.897624491599867,AAE,AAE,1,1
4293,3,1,2,0,1,mr2damngood4u you tink u done made a funny nigga come lookatathehood i got nightclubs trannies crackheads dealers come at me,2,0.8443559771177028,AAE,AAE,1,1
24736,3,0,0,3,2,my girlfriend i kid you not eats bacon without dipping it into the tub of creamy butter ive laid out im like what are you a bird,0,0.029842478082423605,SAE,SAE,0,0
7333,3,1,0,2,2,team_darrion night jigaboo,0,0.02813721056836042,SAE,SAE,0,0
14239,3,0,0,3,2,prejudice a preconceived awareness based on a majority of interactions the negative slant comes from libs self preservation is the basis,0,0.012923672018773228,SAE,SAE,0,0
18200,3,0,1,2,2,rt tombradysego might have a better chance if we put some trash cans out there,0,0.13957491876392003,SAE,SAE,0,0
19898,3,0,3,0,1,rt krisinizu im telling you shaved pussy is ugly,2,0.4415736010621813,SAE,SAE,0,0
22164,3,0,3,0,1,theres no one to flirt with mad bitches in my inbox skrr skrr,2,0.6096761057877578,SAE,AAE,0,1
20797,6,0,6,0,1,rt xbrandi_ only real bitches suck dick,2,0.8352653066788976,AAE,AAE,1,1
2824,3,0,3,0,1,callneeshcakey umm bitch hello i was not alive so i clearly dobt have it,2,0.23962979334279652,SAE,SAE,0,0
11266,3,0,3,0,1,i titty wrecked ya bitch,2,0.6729981958371913,SAE,AAE,0,1
11349,3,1,2,0,1,i was trying fuck something today and this bitch want lie talking bout his brother was on his phone lmfao i feel played,2,0.6299309145719861,SAE,AAE,0,1
4316,3,0,3,0,1,mr__rude i fucking hate you lmao but thank you little dick van dyke,2,0.06071297855905023,SAE,SAE,0,0
13463,3,1,2,0,1,my roommate is eating so obnoxiously i wanna fucking slit his throat,2,0.02022247885148396,SAE,SAE,0,0
335,3,0,3,0,1,glowstruck but a nigga gon be a nigga be a nigga you sound fuckin retarded,2,0.9355247514559075,AAE,AAE,1,1
18058,3,0,1,2,2,rt thedrunkstory my bro made out with an ugly chick at a festival while drunk so now hes known as larry bird because he hits threes,0,0.1364397716991699,SAE,SAE,0,0
2369,9,0,0,9,2,1usagrunt i wonder what charlie brown would have to say about these days,0,0.3823512074143517,SAE,SAE,0,0
1482,3,0,1,2,2,ogbeard some of yall bios are trash mine pretty good,0,0.3234364569707101,SAE,SAE,0,0
