Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,label,p_AAE,dialect_strict,dialect_relaxed,dialect_strict_bin,dialect_relaxed_bin
19672,3,0,3,0,1,rt ilywhitesiders jacob needs to stop being a little bitch and follow me on instagram,1,0.05408354837359375,SAE,SAE,0,0
17150,3,0,3,0,1,rt o_shititslaura good day with these 2 bitches yadirasarmiento jessycaa_rubi,1,0.8608021538153939,AAE,AAE,1,1
20994,3,0,3,0,1,ross got amber rose naked these hoes aint loyal wiz,1,0.9971991124491864,AAE,AAE,1,1
20498,3,0,0,3,2,rt southernshirt the only things you need in life are comfy shirts and oreos southernshirt,0,0.003121072294425946,SAE,SAE,0,0
18547,3,0,0,3,2,rt yahoofinance two stocks to turn trash into cash,0,0.3065904613361634,SAE,SAE,0,0
13465,3,0,0,3,2,my shift wont be over no time so in the mean time im doing what i have to go to get by and if it means tweeting trash i will,0,0.11901840364527488,SAE,SAE,0,0
20542,3,2,1,0,0,rt taylor_tm pacmanjonez philwotg you the whitest person on my tl but you always so ghetto im sick of it,1,0.21849006354798625,SAE,SAE,0,0
17024,3,0,1,2,2,rt nickstape15 dej loaf is trash pure trash,0,0.6942909318723652,SAE,AAE,0,1
7498,3,1,2,0,1,who__chrisjones whyyousoshort who tf is chrisis jones a nigga botta get his ass beat clearly bitch nigga u see real niggas conversatin,1,0.996626885568603,AAE,AAE,1,1
10842,3,0,0,3,2,i hopes dis dont come as a severe shock to use but im colored,0,0.3959404831733841,SAE,SAE,0,0
11106,3,0,0,3,2,i rather watch the oak cliff redskins and oak cliff comets play hell,0,0.05602031186633966,SAE,SAE,0,0
4831,6,1,5,0,1,shenellyb lol u knw dem project bitches be having dem light brown roaches we call dem water bugs,1,0.9781276011486453,AAE,AAE,1,1
20220,3,0,1,2,2,rt ochocinco if your girl didnt camp out overnight to buy you the iphone 6 your pee pee is trash,0,0.0708736975978737,SAE,SAE,0,0
12641,6,0,6,0,1,leap tall hoes in a single bound,1,0.6345495804421074,SAE,AAE,0,1
1577,3,0,3,0,1,tvemike when you catch your girl doing some hoe shit behind your back,1,0.6127951900960886,SAE,AAE,0,1
20769,3,0,3,0,1,rt winksosa aintshitsweet__ rakwon_ogod nigga messed with the wrong bitch th_real_esco,1,0.8809395409209709,AAE,AAE,1,1
17841,3,0,3,0,1,rt stevestfler future bae best drink fiji water so her pussy taste like retweets cinammon apples,1,0.3579670236786004,SAE,SAE,0,0
24443,3,0,0,3,2,how much you wanna bet that a antigovernment black helicopter teabagger was behind the boston marathon explosions twitchyteam p2 tcot,0,0.0636465312923761,SAE,SAE,0,0
16307,3,0,0,3,2,rt kyhoopsbuzz latest draftexpress mock draft has randle 3 cauleystein 9 young 14 poythress 37 harrison twins dakari johnson a,0,0.007540556049684604,SAE,SAE,0,0
7432,3,0,0,3,2,tyler_wilde as in throw birds with long pointy beaks at you,0,0.034037348112867544,SAE,SAE,0,0
